"light","category","n_expected","expected_fraction"
"clone1-Dark","Both close",15.7014245014245,0.00894668062759231
"clone1-Dark","One close",300.597150997151,0.171280427918605
"clone1-Dark","Both distant",1438.70142450142,0.819772891453803
"clone1-Light","Both close",31.9818299805321,0.0207539454773083
"clone1-Light","One close",380.036340038936,0.246616703464592
"clone1-Light","Both distant",1128.98182998053,0.7326293510581
"clone3-Dark","Both close",40.5512274549098,0.0203162462198947
"clone3-Dark","One close",487.89754509018,0.244437647840772
"clone3-Dark","Both distant",1467.55122745491,0.735246105939334
"clone3-Light","Both close",100.650549450549,0.0553024996981041
"clone3-Light","One close",654.698901098901,0.359724670933462
"clone3-Light","Both distant",1064.65054945055,0.584972829368434
"clone7-Dark","Both close",73.309870093194,0.0207031545024552
"clone7-Dark","One close",872.380259813612,0.246365506866312
"clone7-Dark","Both distant",2595.30987009319,0.732931338631232
"clone7-Light","Both close",173.237979433018,0.0481484100703219
"clone7-Light","One close",1232.52404113396,0.342558099259023
"clone7-Light","Both distant",2192.23797943302,0.609293490670655
