"","<100,Ctrl","<100,gRNA","100–299,Ctrl","100–299,gRNA","300–699,Ctrl","300–699,gRNA","700–1999,Ctrl","700–1999,gRNA","2000+,Ctrl","2000+,gRNA"
"<100,Ctrl","NS","NS","NS","S","NS","S","NS","S","NS","S"
"<100,gRNA","NS","NS","NS","S","NS","S","NS","S","NS","S"
"100–299,Ctrl","NS","NS","NS","S","NS","S","NS","S","NS","S"
"100–299,gRNA","S","S","S","NS","S","NS","S","NS","NS","NS"
"300–699,Ctrl","NS","NS","NS","S","NS","S","NS","S","NS","S"
"300–699,gRNA","S","S","S","NS","S","NS","S","NS","NS","NS"
"700–1999,Ctrl","NS","NS","NS","S","NS","S","NS","S","NS","S"
"700–1999,gRNA","S","S","S","NS","S","NS","S","NS","NS","NS"
"2000+,Ctrl","NS","NS","NS","NS","NS","NS","NS","NS","NS","S"
"2000+,gRNA","S","S","S","NS","S","NS","S","NS","S","NS"
