"","diff","lwr","upr","p adj"
"sgSubtel:Dark-No_sg:Dark",-0.0486679124999996,-0.266267389759584,0.168931564759585,0.993771323914861
"sgSubtelo + sgTERT:Dark-No_sg:Dark",-0.0737487669999995,-0.238238510499004,0.0907409764990046,0.792860924576939
"sgTERT:Dark-No_sg:Dark",-0.1803002055,-0.397899682759584,0.0372992717595845,0.152146566459268
"No_sg:Light-No_sg:Dark",-0.0670952501999997,-0.231584993699004,0.0973944932990044,0.857917426913223
"sgSubtel:Light-No_sg:Dark",-0.1338161795,-0.351415656759584,0.0837832977595845,0.462675625961988
"sgSubtelo + sgTERT:Light-No_sg:Dark",-0.1143617646,-0.278851508099004,0.0501279788990043,0.319170169049826
"sgTERT:Light-No_sg:Dark",-0.236622862,-0.454222339259584,-0.0190233847404156,0.0271035174786168
"sgSubtelo + sgTERT:Dark-sgSubtel:Dark",-0.0250808545,-0.242680331759584,0.192518622759584,0.999911401606329
"sgTERT:Dark-sgSubtel:Dark",-0.131632293,-0.391713413596864,0.128448827596864,0.683632694635488
"No_sg:Light-sgSubtel:Dark",-0.0184273377000002,-0.236026814959584,0.199172139559584,0.999989050316127
"sgSubtel:Light-sgSubtel:Dark",-0.0851482670000001,-0.345229387596864,0.174932853596864,0.94854361737995
"sgSubtelo + sgTERT:Light-sgSubtel:Dark",-0.0656938521000002,-0.283293329359584,0.151905625159584,0.966082064926987
"sgTERT:Light-sgSubtel:Dark",-0.1879549495,-0.448036070096864,0.0721261710968636,0.277236158079231
"sgTERT:Dark-sgSubtelo + sgTERT:Dark",-0.1065514385,-0.324150915759584,0.111048038759584,0.716174403672903
"No_sg:Light-sgSubtelo + sgTERT:Dark",0.00665351679999981,-0.157836226699004,0.171143260299004,0.999999933957306
"sgSubtel:Light-sgSubtelo + sgTERT:Dark",-0.0600674125000001,-0.277666889759584,0.157532064759584,0.979071316526183
"sgSubtelo + sgTERT:Light-sgSubtelo + sgTERT:Dark",-0.0406129976000003,-0.205102741099004,0.123876745899004,0.988857932681426
"sgTERT:Light-sgSubtelo + sgTERT:Dark",-0.162874095,-0.380473572259584,0.0547253822595839,0.241382070357759
"No_sg:Light-sgTERT:Dark",0.1132049553,-0.104394521959584,0.330804432559584,0.655104822068511
"sgSubtel:Light-sgTERT:Dark",0.046484026,-0.213597094596864,0.306565146596864,0.998436485473839
"sgSubtelo + sgTERT:Light-sgTERT:Dark",0.0659384408999999,-0.151661036359584,0.283537918159584,0.96541246050166
"sgTERT:Light-sgTERT:Dark",-0.0563226565000001,-0.316403777096864,0.203758464096864,0.994868858542738
"sgSubtel:Light-No_sg:Light",-0.0667209293,-0.284320406559584,0.150878547959584,0.963207970390608
"sgSubtelo + sgTERT:Light-No_sg:Light",-0.0472665144000001,-0.211756257899004,0.117223229099004,0.973942176787348
"sgTERT:Light-No_sg:Light",-0.1695276118,-0.387127089059584,0.0480718654595841,0.203485119409572
"sgSubtelo + sgTERT:Light-sgSubtel:Light",0.0194544148999999,-0.198145062359584,0.237053892159584,0.999984138092694
"sgTERT:Light-sgSubtel:Light",-0.1028066825,-0.362887803096864,0.157274438096864,0.875697273924778
"sgTERT:Light-sgSubtelo + sgTERT:Light",-0.1222610974,-0.339860574659584,0.0953383798595842,0.569616367641127
